gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
5_8S_rRNA	0	86	26	7	0	0
7SK	0	0	14	0	0	69
A1BG	0	20	18	9	27	2
A1BG-AS1	49	6	34	4	28	13
A2M	1	0	5	4	7	9
A2M-AS1	0	0	1	0	1	1
A4GALT	2	0	50	0	6	1
AAAS	120	6	122	9	53	40
AACS	65	2	46	1	36	15
AADAC	1	5	4	9	7	3
AADAT	0	0	42	0	0	0
AAGAB	233	84	267	26	122	71
AAK1	49	103	362	61	87	69
AAMDC	15	8	70	3	6	5
AAMP	275	21	547	26	151	63
AAR2	109	13	126	11	65	41
AARD	0	1	0	4	1	0
AARS1	494	45	397	30	363	151
AARS2	107	6	89	5	33	16
AARSD1	51	7	93	3	35	15
AASDH	66	9	34	3	26	22
AASDHPPT	187	24	150	27	83	53
AASS	52	43	56	25	54	26
AATBC	0	0	2	0	1	0
AATF	239	21	259	15	195	82
AATK	2	1	23	7	4	5
ABALON	1	4	4	2	6	6
ABAT	47	1	20	9	35	20
ABCA1	702	66	404	118	510	389
ABCA10	5	3	4	2	5	3
ABCA11P	33	2	10	1	11	2
ABCA12	1	8	6	7	7	6
ABCA13	4	20	21	3	9	9
ABCA17P	0	0	3	4	2	2
ABCA2	33	2	192	16	49	22
ABCA3	18	0	17	2	23	13
ABCA5	170	23	51	12	92	59
ABCA6	315	22	3	3	4	3
ABCA7	544	72	196	31	182	73
ABCA9	376	25	1	1	1	3
ABCB1	1	0	7	9	16	20
ABCB10	142	9	94	14	36	30
ABCB4	46	3	38	16	66	36
ABCB6	15	0	53	0	15	6
ABCB7	143	31	61	26	103	54
ABCB8	52	3	41	4	25	10
ABCB9	1	0	6	1	8	6
ABCC1	224	23	302	32	154	107
ABCC10	45	1	46	4	39	17
ABCC11	3	6	1	3	1	5
ABCC2	31	3	18	0	20	16
ABCC3	0	0	27	10	2	4
ABCC4	2	5	71	5	53	24
ABCC5	84	31	152	26	98	78
ABCC6	0	0	1	0	0	0
ABCC6P2	1	4	3	5	3	4
ABCC8	0	0	3	0	0	0
ABCC9	2	16	44	11	47	11
ABCD1	96	9	52	9	88	48
ABCD2	7	1	6	2	3	2
ABCD3	68	5	108	9	59	30
ABCD4	130	23	56	9	57	45
ABCE1	509	36	388	42	283	121
ABCF1	544	101	467	40	283	107
ABCF2	100	16	70	3	83	34
ABCF2-H2BK1	31	0	65	8	74	23
ABCF3	137	7	129	12	93	26
ABCG1	1093	92	296	103	760	483
ABCG2	0	0	8	1	0	2
ABCG8	7	30	16	13	14	10
ABHD1	0	0	0	1	1	0
ABHD10	89	15	115	16	53	35
ABHD11	72	15	106	8	31	16
ABHD12	49	5	118	13	29	26
ABHD13	132	14	79	13	64	67
ABHD14A	13	2	9	2	7	6
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	278	28	157	30	124	67
ABHD15	218	38	97	18	48	38
ABHD15-AS1	0	2	2	4	2	3
ABHD16A	75	5	58	5	51	29
ABHD17A	231	19	135	12	57	38
ABHD17AP4	0	0	0	0	1	1
ABHD17AP5	0	0	0	0	3	0
ABHD17AP6	0	0	3	0	0	0
ABHD17B	185	15	59	12	32	21
ABHD17C	14	3	65	3	2	1
ABHD18	177	48	66	16	94	54
ABHD2	168	9	531	29	205	128
ABHD3	139	13	67	14	25	29
ABHD4	57	7	49	7	36	26
ABHD5	29	4	47	7	8	12
ABHD6	58	3	71	11	69	31
ABHD8	29	3	23	8	16	12
ABI1	653	43	205	57	371	242
ABI2	271	67	373	39	113	90
ABI3	31	1	31	5	28	8
ABI3BP	0	2	4896	0	2	6
ABITRAM	33	0	58	6	17	15
ABL1	87	7	587	10	74	46
ABL2	193	49	520	31	75	52
ABLIM1	423	45	200	96	483	401
ABLIM2	17	11	11	8	10	11
ABLIM3	0	0	262	0	4	1
ABR	645	43	380	49	114	64
ABRACL	105	12	107	19	79	39
ABRAXAS1	172	68	90	33	122	75
ABRAXAS2	155	12	163	13	92	52
ABT1	170	26	102	26	90	58
ABTB1	188	17	95	17	60	50
ABTB2	32	1	35	1	44	6
ABTB3	1	14	31	25	11	33
ACAA1	151	16	106	16	90	51
ACAA2	337	77	353	30	75	42
ACAA2P1	1	0	1	0	1	2
ACACA	47	4	65	4	119	53
ACACB	41	50	42	22	38	38
ACAD10	39	3	43	11	32	30
ACAD11	79	8	96	8	62	29
ACAD8	102	19	62	7	35	23
ACAD9	61	62	145	31	67	37
ACAD9-DT	20	2	10	0	5	4
ACADM	645	39	207	31	242	143
ACADS	35	3	15	0	16	8
ACADSB	121	9	87	13	80	69
ACADVL	961	77	647	42	238	104
ACAP1	423	49	84	15	82	37
ACAP2	453	73	313	64	353	192
ACAP2-IT1	1	0	3	0	1	1
ACAP3	124	13	111	9	64	19
