gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
5_8S_rRNA	0	172.4769544	12.97420646	16.82040683	0	0
7SK	0	0	6.986111171	0	0	75.96478958
A1BG	0	40.11091963	8.982142934	21.62623735	19.68808894	2.201877959
A1BG-AS1	22.08305131	12.03327589	16.96626999	9.611661044	20.41727741	14.31220673
A2M	0.450674517	0	2.495039704	9.611661044	5.104319354	9.908450814
A2M-AS1	0	0	0.499007941	0	0.729188479	1.100938979
A4GALT	0.901349033	0	24.95039704	0	4.375130875	1.100938979
AAAS	54.08094199	12.03327589	60.87896877	21.62623735	38.64698939	44.03755917
AACS	29.29384358	4.011091963	22.95436528	2.402915261	26.25078525	16.51408469
AADAC	0.450674517	10.02772991	1.996031763	21.62623735	5.104319354	3.302816938
AADAT	0	0	20.95833351	0	0	0
AAGAB	105.0071624	168.4658625	133.2351202	62.47579679	88.96099445	78.16666753
AAK1	22.08305131	206.5712361	180.6408746	146.5778309	63.43939768	75.96478958
AAMDC	6.760117748	16.04436785	34.93055585	7.208745783	4.375130875	5.504694897
AAMP	123.9354921	42.11646562	272.9573436	62.47579679	110.1074603	69.3591557
AAR2	49.1235223	26.07209776	62.87500054	26.43206787	47.39725114	45.13849815
AARD	0	2.005545982	0	9.611661044	0.729188479	0
AARS1	222.6332112	90.24956918	198.1061525	72.08745783	264.6954179	166.2417859
AARS2	48.22217327	12.03327589	44.41170673	12.0145763	24.06321981	17.61502367
AARSD1	22.98440034	14.03882187	46.40773849	7.208745783	25.52159677	16.51408469
AASDH	29.74451809	18.04991384	16.96626999	7.208745783	18.95890046	24.22065755
AASDHPPT	84.27613459	48.13310356	74.85119112	64.87871205	60.52264376	58.34976591
AASS	23.43507486	86.23847721	27.94444468	60.07288152	39.37617787	28.62441346
AATBC	0	0	0.998015882	0	0.729188479	0
AATF	107.7112095	42.11646562	129.2430567	36.04372891	142.1917534	90.27699631
AATK	0.901349033	2.005545982	11.47718264	16.82040683	2.916753916	5.504694897
ABALON	0.450674517	8.022183927	1.996031763	4.805830522	4.375130875	6.605633876
ABAT	21.18170228	2.005545982	9.980158815	21.62623735	25.52159677	22.01877959
ABCA1	316.3735106	132.3660348	201.5992081	283.5440008	371.8861243	428.265263
ABCA10	2.253372583	6.016637945	1.996031763	4.805830522	3.645942395	3.302816938
ABCA11P	14.87225905	4.011091963	4.990079408	2.402915261	8.02107327	2.201877959
ABCA12	0.450674517	16.04436785	2.994047645	16.82040683	5.104319354	6.605633876
ABCA13	1.802698066	40.11091963	10.47916676	7.208745783	6.562696312	9.908450814
ABCA17P	0	0	1.497023822	9.611661044	1.458376958	2.201877959
ABCA2	14.87225905	4.011091963	95.80952463	38.44664418	35.73023548	24.22065755
ABCA3	8.112141298	0	8.483134993	4.805830522	16.77133502	14.31220673
ABCA5	76.61466781	46.12755758	25.44940498	28.83498313	67.08534008	64.95539978
ABCA6	141.9624727	44.1220116	1.497023822	7.208745783	2.916753916	3.302816938
ABCA7	245.166937	144.3993107	97.80555639	74.49037309	132.7123032	80.36854549
ABCA9	169.4536182	50.13864954	0.499007941	2.402915261	0.729188479	3.302816938
ABCB1	0.450674517	0	3.493055585	21.62623735	11.66701567	22.01877959
ABCB10	63.99578135	18.04991384	46.90674643	33.64081365	26.25078525	33.02816938
ABCB4	20.73102776	6.016637945	18.96230175	38.44664418	48.12643962	39.63380326
ABCB6	6.760117748	0	26.44742086	0	10.93782719	6.605633876
ABCB7	64.44645587	62.17192543	30.43948439	62.47579679	75.10641335	59.45070488
ABCB8	23.43507486	6.016637945	20.45932557	9.611661044	18.22971198	11.00938979
